INDEX,YEAR,MN,DT,MAX,MIN,AW,RF,EVP,DRNRF(hrs),DRNRF(mnts),SSH,TS,N,FFF,D,TOCSQ,DU,RA,DZ,SN,SL,HA,TH,DS,FG,GA,T,G,DUR,T,G,DUR,T,G,DUR,T,G,DUR,
42744,1991,4,19,38.4,22.5,6,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,4,20,39.2,19.9,3,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,4,21,40.9,20,2,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,4,22,40.7,21,4,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,4,23,38.2,23.6,6,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,4,24,37,23.5,3,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,4,25,40.7,23.5,2,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,4,26,41.2,24.9,3,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,4,27,40.8,24.6,4,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,4,28,39.2,25,3,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,4,29,38.8,25.3,4,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,4,30,39,25.5,5,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,5,1,39,24.5,4,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,5,2,36.5,24,8,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,5,3,36.8,24.7,8,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,5,4,35.8,26.7,7,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,5,5,38,24.7,4,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,5,6,37.6,24.4,4,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,5,7,36.8,25.3,5,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,5,8,37.2,25.6,5,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,5,9,37,25.6,5,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
